,Year,Clump,Estimator,params,accuracy
268,2017,13,LogisticRegression,NA,0.8059701492537313
269,2017,14,LogisticRegression,NA,0.8507462686567164
270,2018,0,LogisticRegression,NA,0.5373134328358209
271,2018,1,LogisticRegression,NA,0.6417910447761194
272,2018,2,LogisticRegression,NA,0.47761194029850745
273,2018,3,LogisticRegression,NA,0.5373134328358209
274,2018,4,LogisticRegression,NA,0.6268656716417911
275,2018,5,LogisticRegression,NA,0.6716417910447762
276,2018,6,LogisticRegression,NA,0.5373134328358209
277,2018,7,LogisticRegression,NA,0.6268656716417911
278,2018,8,LogisticRegression,NA,0.5671641791044776
279,2018,9,LogisticRegression,NA,0.6716417910447762
280,2018,10,LogisticRegression,NA,0.7014925373134329
281,2018,11,LogisticRegression,NA,0.6268656716417911
282,2018,12,LogisticRegression,NA,0.7164179104477612
283,2018,13,LogisticRegression,NA,0.7313432835820896
284,2018,14,LogisticRegression,NA,0.7910447761194029
285,2019,0,LogisticRegression,NA,0.5970149253731343
286,2019,1,LogisticRegression,NA,0.6865671641791045
287,2019,2,LogisticRegression,NA,0.5970149253731343
288,2019,3,LogisticRegression,NA,0.7014925373134329
289,2019,4,LogisticRegression,NA,0.7014925373134329
290,2019,5,LogisticRegression,NA,0.7014925373134329
291,2019,6,LogisticRegression,NA,0.7313432835820896
292,2019,7,LogisticRegression,NA,0.6865671641791045
293,2019,8,LogisticRegression,NA,0.7611940298507462
294,2019,9,LogisticRegression,NA,0.7761194029850746
295,2019,10,LogisticRegression,NA,0.7164179104477612
296,2019,11,LogisticRegression,NA,0.7910447761194029
297,2019,12,LogisticRegression,NA,0.7761194029850746
298,2019,13,LogisticRegression,NA,0.7611940298507462
299,2019,14,LogisticRegression,NA,0.835820895522388
300,2000,0,BaggingClassifier,NA,0.6349206349206349
301,2000,1,BaggingClassifier,NA,0.6349206349206349
302,2000,2,BaggingClassifier,NA,0.6031746031746031
303,2000,3,BaggingClassifier,NA,0.6666666666666666
304,2000,4,BaggingClassifier,NA,0.6349206349206349
305,2000,5,BaggingClassifier,NA,0.6666666666666666
306,2000,6,BaggingClassifier,NA,0.6190476190476191
307,2000,7,BaggingClassifier,NA,0.6666666666666666
308,2000,8,BaggingClassifier,NA,0.6984126984126984
309,2000,9,BaggingClassifier,NA,0.7142857142857143
310,2000,10,BaggingClassifier,NA,0.6507936507936508
311,2000,11,BaggingClassifier,NA,0.6825396825396826
312,2000,12,BaggingClassifier,NA,0.7301587301587301
313,2000,13,BaggingClassifier,NA,0.7142857142857143
314,2000,14,BaggingClassifier,NA,0.7142857142857143
315,2001,0,BaggingClassifier,NA,0.6333333333333333
316,2001,1,BaggingClassifier,NA,0.6666666666666666
317,2001,2,BaggingClassifier,NA,0.55
318,2001,3,BaggingClassifier,NA,0.65
319,2001,4,BaggingClassifier,NA,0.6833333333333333
320,2001,5,BaggingClassifier,NA,0.65
321,2001,6,BaggingClassifier,NA,0.5833333333333334
322,2001,7,BaggingClassifier,NA,0.65
323,2001,8,BaggingClassifier,NA,0.6833333333333333
