,HQ3
1103,3
1104,0
1105,3
1106,0
1107,3
1108,0
1109,3
1110,0
1111,0
1112,0
1113,7
1114,7
1115,7
1116,0
1117,7
1118,0
1119,6
1120,3
1121,0
1122,0
1123,6
1124,0
1125,0
1126,10
1127,0
1128,0
1129,0
1130,0
1131,0
1132,3
1133,6
1134,0
1135,10
1136,10
1137,0
1138,7
1139,7
1140,0
1141,0
1142,7
1143,3
1144,0
1145,0
1146,0
1147,0
1148,7
1149,0
1150,21
1151,0
1152,3
1153,7
1154,0
1155,0
1156,0
1157,0
1158,14
1159,7
1160,0
1161,0
1162,0
1163,3
1164,10
1165,14
1166,0
1167,14
1168,7
1169,7
1170,7
1171,3
1172,0
1173,7
1174,0
1175,7
1176,16
1177,0
1178,0
1179,7
1180,0
1181,7
1182,21
1183,3
1184,3
1185,0
1186,0
1187,0
1188,7
1189,0
1190,0
1191,0
1192,7
1193,3
1194,3
1195,7
1196,0
1197,7
1198,0
1199,14
1200,7
1201,0
1202,20
1203,0
1204,0
1205,0
1206,7
1207,0
1208,7
1209,7
1210,0
1211,3
1212,0
1213,0
1214,0
1215,7
1216,0
1217,14
1218,0
1219,7
1220,14
1221,0
1222,0
1223,0
1224,6
1225,0
1226,0
1227,7
1228,7
1229,14
1230,0
1231,10
1232,0
1233,6
1234,7
1235,0
1236,7
1237,0
1238,0
1239,3
1240,9
1241,3
1242,6
1243,3
1244,3
1245,10
1246,7
1247,7
1248,3
1249,3
1250,7
1251,3
1252,3
1253,0
1254,7
1255,7
1256,10
1257,0
1258,0
1259,7
1260,10
1261,0
1262,14
1263,7
1264,6
1265,0
1266,2
1267,0
1268,0
1269,0
1270,7
1271,7
1272,7
1273,14
1274,14
1275,7
1276,0
1277,0
1278,0
1279,7
1280,7
1281,14
1282,0
1283,0
1284,7
1285,0
1286,0
1287,7
1288,0
1289,7
1290,0
1291,7
1292,7
1293,7
1294,7
1295,7
1296,10
1297,0
1298,7
1299,7
1300,0
1301,0
1302,0
1303,7
1304,0
1305,0
1306,10
1307,0
1308,3
1309,0
1310,0
1311,0
1312,0
1313,10
1314,0
1315,7
1316,6
1317,14
1318,7
1319,6
1320,3
1321,0
1322,14
1323,3
1324,3
1325,7
1326,7
1327,7
1328,0
1329,7
1330,10
1331,21
1332,3
1333,0
1334,0
1335,0
1336,3
1337,7
1338,0
1339,7
1340,7
1341,7
1342,3
1343,3
1344,0
1345,0
1346,7
1347,0
1348,7
1349,0
1350,7
1351,3
1352,0
1353,0
1354,7
1355,0
1356,3
1357,0
1358,7
1359,14
1360,7
1361,14
1362,3
1363,14
1364,7
1365,7
1366,7
1367,0
1368,0
1369,0
1370,0
1371,7
1372,10
1373,7
1374,0
1375,3
1376,3
1377,6
1378,3
1379,7
1380,3
1381,10
1382,0
1383,7
1384,0
1385,7
1386,0
1387,3
1388,7
1389,3
1390,3
1391,7
1392,6
1393,15
1394,0
1395,17
1396,3
1397,0
1398,0
1399,7
1400,7
1401,7
1402,7
1403,7
1404,7
1405,7
1406,10
1407,7
1408,10
1409,3
1410,0
1411,0
1412,10
1413,0
1414,0
1415,0
1416,3
1417,3
1418,7
1419,0
1420,7
1421,7
1422,3
1423,3
1424,0
1425,0
1426,0
1427,7
1428,17
1429,0
1430,3
1431,6
1432,0
1433,7
1434,7
1435,7
1436,7
1437,3
1438,0
1439,0
1440,0
1441,10
1442,0
1443,10
1444,0
1445,6
1446,7
1447,7
1448,7
1449,7
1450,7
1451,7
1452,0
1453,7
1454,7
1455,0
1456,0
1457,0
1458,0
1459,7
1460,14
1461,7
1462,3
1463,7
1464,0
1465,7
1466,7
1467,7
1468,0
1469,0
1470,10
1471,3
1472,7
1473,3
1474,7
1475,0
1476,3
1477,10
1478,0
1479,0
1480,0
1481,7
1482,0
1483,7
1484,7
1485,0
1486,0
1487,21
1488,17
1489,7
1490,3
1491,3
1492,7
1493,7
1494,7
1495,7
1496,14
1497,3
1498,0
1499,0
1500,7
1501,0
1502,0
1503,0
1504,0
1505,0
1506,3
1507,3
1508,7
1509,7
1510,0
1511,0
1512,6
1513,7
1514,0
1515,7
1516,7
1517,3
1518,14
1519,3
1520,0
1521,14
1522,6
1523,0
1524,0
1525,0
1526,9
1527,0
1528,3
1529,3
1530,17
1531,3
1532,0
1533,3
1534,10
1535,0
1536,0
1537,0
1538,0
1539,3
1540,7
1541,10
1542,10
1543,0
1544,0
1545,0
1546,0
1547,10
1548,0
1549,0
1550,0
1551,7
1552,6
1553,7
1554,6
1555,7
1556,0
1557,7
1558,0
1559,0
1560,7
1561,10
1562,3
1563,0
1564,3
1565,14
1566,7
1567,14
1568,7
1569,0
1570,13
1571,10
1572,7
1573,3
1574,0
1575,7
1576,14
1577,0
1578,0
1579,7
1580,7
1581,0
1582,7
1583,7
1584,7
1585,7
1586,0
1587,0
1588,0
1589,7
