,GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Time
123,200010290nyg,9,Sun,2000-10-29,Eagles,0,0,0,7,2000,4:07PM
124,200010290dal,9,Sun,2000-10-29,Jaguars,0,17,0,0,2000,4:15PM
125,200010290sea,9,Sun,2000-10-29,Chiefs,7,14,0,3,2000,4:16PM
126,200010290sdg,9,Sun,2000-10-29,Raiders,9,3,0,3,2000,8:35PM
127,200010300was,9,Mon,2000-10-30,Titans,0,20,0,7,2000,9:01PM
128,200011050det,10,Sun,2000-11-05,Dolphins,14,3,6,0,2000,1:01PM
129,200011050nor,10,Sun,2000-11-05,49ers,0,0,7,8,2000,1:02PM
130,200011050chi,10,Sun,2000-11-05,Colts,0,0,8,16,2000,1:02PM
131,200011050nwe,10,Sun,2000-11-05,Bills,3,7,0,3,2000,1:02PM
132,200011050atl,10,Sun,2000-11-05,Buccaneers,7,7,3,10,2000,1:02PM
133,200011050phi,10,Sun,2000-11-05,Cowboys,0,7,3,3,2000,1:03PM
134,200011050oti,10,Sun,2000-11-05,Steelers,0,0,0,7,2000,1:03PM
135,200011050cin,10,Sun,2000-11-05,Ravens,3,21,0,3,2000,1:03PM
136,200011050cle,10,Sun,2000-11-05,Giants,0,10,7,7,2000,1:03PM
137,200011050rai,10,Sun,2000-11-05,Chiefs,0,10,7,14,2000,1:15PM
138,200011050crd,10,Sun,2000-11-05,Redskins,3,9,3,0,2000,4:05PM
139,200011050sea,10,Sun,2000-11-05,Chargers,0,3,9,3,2000,4:15PM
140,200011050nyj,10,Sun,2000-11-05,Broncos,10,10,3,7,2000,4:15PM
141,200011050ram,10,Sun,2000-11-05,Panthers,6,7,3,11,2000,8:35PM
142,200011060gnb,10,Mon,2000-11-06,Vikings,3,10,7,0,2000,9:09PM
143,200011120dal,11,Sun,2000-11-12,Bengals,0,6,0,0,2000,1:00PM
144,200011120min,11,Sun,2000-11-12,Cardinals,7,0,0,7,2000,1:00PM
145,200011120pit,11,Sun,2000-11-12,Eagles,3,7,3,10,2000,1:01PM
146,200011120det,11,Sun,2000-11-12,Falcons,0,7,3,0,2000,1:01PM
147,200011120car,11,Sun,2000-11-12,Saints,0,7,7,6,2000,1:02PM
148,200011120buf,11,Sun,2000-11-12,Bears,0,3,0,0,2000,1:02PM
149,200011120jax,11,Sun,2000-11-12,Seahawks,0,14,7,7,2000,1:02PM
150,200011120oti,11,Sun,2000-11-12,Ravens,7,10,0,7,2000,1:03PM
151,200011120cle,11,Sun,2000-11-12,Patriots,3,0,0,8,2000,1:03PM
152,200011120sfo,11,Sun,2000-11-12,Chiefs,0,0,0,7,2000,4:00PM
153,200011120sdg,11,Sun,2000-11-12,Dolphins,7,7,3,0,2000,4:05PM
154,200011120tam,11,Sun,2000-11-12,Packers,0,3,6,6,2000,4:15PM
155,200011120nyg,11,Sun,2000-11-12,Rams,14,14,10,0,2000,4:15PM
156,200011120clt,11,Sun,2000-11-12,Jets,0,0,7,8,2000,8:35PM
157,200011130den,11,Mon,2000-11-13,Raiders,3,7,0,14,2000,9:09PM
158,200011190min,12,Sun,2000-11-19,Panthers,7,7,0,3,2000,1:00PM
159,200011190kan,12,Sun,2000-11-19,Bills,7,0,0,14,2000,1:00PM
160,200011190nwe,12,Sun,2000-11-19,Bengals,0,10,3,0,2000,1:02PM
161,200011190phi,12,Sun,2000-11-19,Cardinals,3,0,0,6,2000,1:02PM
162,200011190nor,12,Sun,2000-11-19,Raiders,3,14,0,14,2000,1:02PM
163,200011190gnb,12,Sun,2000-11-19,Colts,0,0,3,21,2000,1:02PM
164,200011190nyg,12,Sun,2000-11-19,Lions,0,21,7,3,2000,1:03PM
165,200011190oti,12,Sun,2000-11-19,Browns,0,0,10,0,2000,1:03PM
166,200011190chi,12,Sun,2000-11-19,Buccaneers,0,3,7,0,2000,1:04PM
167,200011190mia,12,Sun,2000-11-19,Jets,3,3,0,14,2000,4:05PM
168,200011190den,12,Sun,2000-11-19,Chargers,3,21,10,3,2000,4:05PM
169,200011190rav,12,Sun,2000-11-19,Cowboys,0,0,0,0,2000,4:15PM
170,200011190sfo,12,Sun,2000-11-19,Falcons,0,3,3,0,2000,4:16PM
171,200011190pit,12,Sun,2000-11-19,Jaguars,0,17,17,0,2000,8:35PM
172,200011200ram,12,Mon,2000-11-20,Redskins,3,10,12,8,2000,9:08PM
173,200011230det,13,Thu,2000-11-23,Patriots,6,0,3,0,2000,12:36PM
174,200011230dal,13,Thu,2000-11-23,Vikings,0,10,17,0,2000,4:08PM
175,200011260tam,13,Sun,2000-11-26,Bills,0,7,0,10,2000,1:00PM
176,200011260rav,13,Sun,2000-11-26,Browns,7,0,0,0,2000,1:01PM
177,200011260was,13,Sun,2000-11-26,Eagles,7,3,7,6,2000,1:01PM
178,200011260cin,13,Sun,2000-11-26,Steelers,14,10,21,3,2000,1:02PM
179,200011260ram,13,Sun,2000-11-26,Saints,7,14,3,7,2000,1:02PM
180,200011260nyj,13,Sun,2000-11-26,Bears,0,0,3,7,2000,1:02PM
181,200011260rai,13,Sun,2000-11-26,Falcons,7,0,0,7,2000,4:05PM
182,200011260clt,13,Sun,2000-11-26,Dolphins,0,3,7,7,2000,4:15PM
183,200011260sdg,13,Sun,2000-11-26,Chiefs,3,3,10,0,2000,4:15PM
184,200011260jax,13,Sun,2000-11-26,Titans,7,3,0,3,2000,4:15PM
185,200011260sea,13,Sun,2000-11-26,Broncos,0,10,7,21,2000,4:16PM
186,200011260crd,13,Sun,2000-11-26,Giants,7,7,7,10,2000,8:35PM
187,200011270car,13,Mon,2000-11-27,Packers,0,14,0,0,2000,9:12PM
188,200011300min,14,Thu,2000-11-30,Lions,0,3,0,14,2000,8:35PM
189,200012030pit,14,Sun,2000-12-03,Raiders,0,17,0,3,2000,1:01PM
190,200012030was,14,Sun,2000-12-03,Giants,0,6,3,0,2000,1:01PM
191,200012030tam,14,Sun,2000-12-03,Cowboys,0,0,7,0,2000,1:01PM
192,200012030buf,14,Sun,2000-12-03,Dolphins,7,17,6,3,2000,1:02PM
193,200012030nor,14,Sun,2000-12-03,Broncos,7,21,3,7,2000,1:02PM
194,200012030cin,14,Sun,2000-12-03,Cardinals,0,0,7,6,2000,1:02PM
195,200012030phi,14,Sun,2000-12-03,Titans,0,6,3,6,2000,1:03PM
196,200012030car,14,Sun,2000-12-03,Rams,3,0,0,0,2000,1:04PM
197,200012030atl,14,Sun,2000-12-03,Seahawks,17,7,6,0,2000,1:05PM
198,200012030sdg,14,Sun,2000-12-03,49ers,0,17,10,18,2000,4:05PM
199,200012030nyj,14,Sun,2000-12-03,Colts,0,0,10,7,2000,4:15PM
200,200012030jax,14,Sun,2000-12-03,Browns,0,0,0,0,2000,4:16PM
201,200012030chi,14,Sun,2000-12-03,Packers,0,14,7,7,2000,8:35PM
202,200012040nwe,14,Mon,2000-12-04,Chiefs,3,7,0,14,2000,9:09PM
203,200012100kan,15,Sun,2000-12-10,Panthers,0,7,7,0,2000,1:00PM
204,200012100chi,15,Sun,2000-12-10,Patriots,0,10,0,7,2000,1:02PM
205,200012100rav,15,Sun,2000-12-10,Chargers,0,3,0,0,2000,1:02PM
206,200012100gnb,15,Sun,2000-12-10,Lions,0,0,3,10,2000,1:02PM
207,200012100jax,15,Sun,2000-12-10,Cardinals,0,3,0,7,2000,1:02PM
208,200012100mia,15,Sun,2000-12-10,Buccaneers,0,10,0,6,2000,1:02PM
209,200012100nyg,15,Sun,2000-12-10,Steelers,0,3,0,7,2000,1:03PM
210,200012100oti,15,Sun,2000-12-10,Bengals,0,3,0,0,2000,1:03PM
211,200012100cle,15,Sun,2000-12-10,Eagles,7,14,14,0,2000,1:03PM
212,200012100den,15,Sun,2000-12-10,Seahawks,3,0,7,14,2000,4:05PM
213,200012100sfo,15,Sun,2000-12-10,Saints,3,0,11,17,2000,4:15PM
214,200012100dal,15,Sun,2000-12-10,Redskins,0,7,0,6,2000,4:15PM
215,200012100ram,15,Sun,2000-12-10,Vikings,0,7,14,8,2000,4:15PM
216,200012100rai,15,Sun,2000-12-10,Jets,0,0,0,7,2000,8:35PM
217,200012110clt,15,Mon,2000-12-11,Bills,3,3,6,8,2000,9:00PM
218,200012160pit,16,Sat,2000-12-16,Redskins,3,0,0,0,2000,12:37PM
219,200012160sea,16,Sat,2000-12-16,Raiders,7,3,7,7,2000,4:06PM
220,200012170kan,16,Sun,2000-12-17,Broncos,0,7,0,0,2000,1:00PM
221,200012170min,16,Sun,2000-12-17,Packers,10,10,3,10,2000,1:00PM
222,200012170nyj,16,Sun,2000-12-17,Lions,0,0,3,7,2000,1:02PM
223,200012170cin,16,Sun,2000-12-17,Jaguars,0,7,7,0,2000,1:02PM
224,200012170buf,16,Sun,2000-12-17,Patriots,3,0,0,7,2000,1:02PM
225,200012170nor,16,Sun,2000-12-17,Falcons,0,0,7,0,2000,1:03PM
226,200012170cle,16,Sun,2000-12-17,Titans,10,7,0,7,2000,1:03PM
227,200012170car,16,Sun,2000-12-17,Chargers,2,14,6,0,2000,1:04PM
228,200012170sfo,16,Sun,2000-12-17,Bears,0,0,0,0,2000,4:00PM
229,200012170crd,16,Sun,2000-12-17,Ravens,3,0,10,0,2000,4:15PM
230,200012170mia,16,Sun,2000-12-17,Colts,7,10,3,0,2000,4:16PM
231,200012170dal,16,Sun,2000-12-17,Giants,0,0,7,10,2000,8:20PM
232,200012180tam,16,Mon,2000-12-18,Rams,7,7,7,14,2000,9:00PM
233,200012230nyg,17,Sat,2000-12-23,Jaguars,0,7,3,15,2000,12:37PM
234,200012230den,17,Sat,2000-12-23,49ers,0,0,0,9,2000,4:17PM
235,200012230sea,17,Sat,2000-12-23,Bills,21,7,7,7,2000,8:36PM
236,200012240was,17,Sun,2000-12-24,Cardinals,0,3,0,0,2000,1:01PM
237,200012240det,17,Sun,2000-12-24,Bears,0,6,7,10,2000,1:02PM
238,200012240nwe,17,Sun,2000-12-24,Dolphins,3,14,0,10,2000,1:02PM
239,200012240rav,17,Sun,2000-12-24,Jets,14,0,3,3,2000,1:02PM
240,200012240gnb,17,Sun,2000-12-24,Buccaneers,0,0,3,11,2000,1:02PM
241,200012240nor,17,Sun,2000-12-24,Rams,7,3,9,7,2000,1:02PM
242,200012240phi,17,Sun,2000-12-24,Bengals,0,0,0,7,2000,1:03PM
243,200012240atl,17,Sun,2000-12-24,Chiefs,7,0,0,6,2000,1:05PM
244,200012240sdg,17,Sun,2000-12-24,Steelers,7,17,0,10,2000,4:05PM
245,200012240clt,17,Sun,2000-12-24,Vikings,7,3,0,0,2000,4:15PM
246,200012240rai,17,Sun,2000-12-24,Panthers,3,6,0,0,2000,4:15PM
247,200012250oti,17,Mon,2000-12-25,Cowboys,0,0,0,0,2000,9:10PM
248,200012300mia,100,Sat,2000-12-30,Colts,3,11,0,3,2000,12:33PM
249,200012300nor,100,Sat,2000-12-30,Rams,7,0,0,21,2000,4:05PM
250,200012310rav,100,Sun,2000-12-31,Broncos,0,3,0,0,2000,12:35PM
251,200012310phi,100,Sun,2000-12-31,Buccaneers,0,3,0,0,2000,4:16PM
252,200101060min,200,Sat,2001-01-06,Saints,3,0,7,6,2001,12:30PM
253,200101060rai,200,Sat,2001-01-06,Dolphins,0,0,0,0,2001,4:05PM
254,200101070oti,200,Sun,2001-01-07,Ravens,0,7,3,14,2001,12:35PM
255,200101070nyg,200,Sun,2001-01-07,Eagles,0,3,0,7,2001,4:15PM
256,200101140nyg,300,Sun,2001-01-14,Vikings,0,0,0,0,2001,12:37PM
257,200101140rai,300,Sun,2001-01-14,Ravens,0,10,3,3,2001,4:05PM
258,200101280nyg,400,Sun,2001-01-28,Ravens,7,3,14,10,2001,6:28PM
259,200109090kan,1,Sun,2001-09-09,Raiders,6,0,8,13,2001,12:01PM
260,200109090gnb,1,Sun,2001-09-09,Lions,3,3,0,0,2001,12:02PM
261,200109090dal,1,Sun,2001-09-09,Buccaneers,3,0,0,7,2001,12:03PM
262,200109090min,1,Sun,2001-09-09,Panthers,7,3,7,7,2001,1:00PM
263,200109090cle,1,Sun,2001-09-09,Seahawks,0,3,3,3,2001,1:02PM
264,200109090rav,1,Sun,2001-09-09,Bears,3,0,3,0,2001,1:02PM
265,200109090cin,1,Sun,2001-09-09,Patriots,0,10,0,7,2001,1:03PM
266,200109090nyj,1,Sun,2001-09-09,Colts,3,28,7,7,2001,1:03PM
267,200109090jax,1,Sun,2001-09-09,Steelers,0,3,0,0,2001,1:05PM
268,200109090buf,1,Sun,2001-09-09,Saints,0,0,17,7,2001,1:05PM
269,200109090sfo,1,Sun,2001-09-09,Falcons,7,3,3,0,2001,1:15PM
270,200109090sdg,1,Sun,2001-09-09,Redskins,0,0,3,0,2001,4:15PM
271,200109090phi,1,Sun,2001-09-09,Rams,7,7,3,0,2001,4:16PM
272,200109090oti,1,Sun,2001-09-09,Dolphins,10,7,7,7,2001,8:36PM
273,200109100den,1,Mon,2001-09-10,Giants,0,7,7,6,2001,7:07PM
274,200109230kan,2,Sun,2001-09-23,Giants,3,10,0,0,2001,12:00PM
275,200109230chi,2,Sun,2001-09-23,Vikings,3,0,7,0,2001,12:12PM
276,200109230clt,2,Sun,2001-09-23,Bills,7,10,3,6,2001,1:00PM
277,200109230mia,2,Sun,2001-09-23,Raiders,3,3,3,6,2001,1:10PM
278,200109230jax,2,Sun,2001-09-23,Titans,3,3,0,0,2001,1:10PM
279,200109230cin,2,Sun,2001-09-23,Ravens,3,0,0,7,2001,1:11PM
280,200109230atl,2,Sun,2001-09-23,Panthers,3,7,3,3,2001,1:12PM
281,200109230dal,2,Sun,2001-09-23,Chargers,14,6,6,6,2001,1:12PM
282,200109230cle,2,Sun,2001-09-23,Lions,0,0,7,7,2001,1:13PM
283,200109230nwe,2,Sun,2001-09-23,Jets,0,3,7,0,2001,4:15PM
284,200109230sea,2,Sun,2001-09-23,Eagles,3,14,0,10,2001,4:27PM
285,200109230sfo,2,Sun,2001-09-23,Rams,9,3,10,8,2001,4:29PM
286,200109230crd,2,Sun,2001-09-23,Broncos,0,17,14,7,2001,8:37PM
287,200109240gnb,2,Mon,2001-09-24,Redskins,0,0,0,0,2001,9:08PM
288,200109300ram,3,Sun,2001-09-30,Dolphins,7,3,0,0,2001,12:03PM
289,200109300min,3,Sun,2001-09-30,Buccaneers,3,3,3,7,2001,1:00PM
290,200109300was,3,Sun,2001-09-30,Chiefs,0,28,7,10,2001,1:01PM
291,200109300car,3,Sun,2001-09-30,Packers,0,6,15,7,2001,1:03PM
292,200109300nwe,3,Sun,2001-09-30,Colts,0,0,7,6,2001,1:03PM
293,200109300buf,3,Sun,2001-09-30,Steelers,7,3,0,10,2001,1:03PM
294,200109300nyg,3,Sun,2001-09-30,Saints,0,3,0,10,2001,1:06PM
295,200109300crd,3,Sun,2001-09-30,Falcons,10,3,7,14,2001,4:05PM
296,200109300rai,3,Sun,2001-09-30,Seahawks,0,0,7,7,2001,4:10PM
297,200109300den,3,Sun,2001-09-30,Ravens,3,3,7,7,2001,4:15PM
298,200109300sdg,3,Sun,2001-09-30,Bengals,0,7,0,7,2001,4:15PM
299,200109300jax,3,Sun,2001-09-30,Browns,3,10,0,10,2001,4:15PM
300,200109300phi,3,Sun,2001-09-30,Cowboys,6,0,0,12,2001,8:38PM
301,200110010nyj,3,Mon,2001-10-01,49ers,0,13,3,3,2001,9:10PM
302,200110070nor,4,Sun,2001-10-07,Vikings,7,0,8,0,2001,12:05PM
303,200110070rav,4,Sun,2001-10-07,Titans,0,0,7,0,2001,1:02PM
304,200110070cle,4,Sun,2001-10-07,Chargers,3,0,7,6,2001,1:02PM
305,200110070pit,4,Sun,2001-10-07,Bengals,0,0,0,7,2001,1:02PM
306,200110070mia,4,Sun,2001-10-07,Patriots,7,3,0,0,2001,1:03PM
307,200110070nyg,4,Sun,2001-10-07,Redskins,3,3,3,0,2001,1:04PM
308,200110070atl,4,Sun,2001-10-07,Bears,0,10,0,21,2001,1:05PM
