,Team,Clump,Estimator,params,accuracy
5240,Buccaneers,12,BaggingClassifier(),NA,0.6585365853658537
5241,Buccaneers,12,RandomForestClassifier(),NA,0.6829268292682927
5242,Buccaneers,12,ExtraTreesClassifier(),NA,0.6585365853658537
5243,Buccaneers,12,DecisionTreeClassifier(),NA,0.6829268292682927
5244,Buccaneers,12,AdaBoostClassifier(),NA,0.6829268292682927
5245,Buccaneers,12,MultinomialNB(),NA,0.6585365853658537
5246,Buccaneers,12,GradientBoostingClassifier(),NA,0.6829268292682927
5247,Buccaneers,13,LogisticRegression(),NA,0.6585365853658537
5248,Buccaneers,13,KNeighborsClassifier(),NA,0.6097560975609756
5249,Buccaneers,13,BaggingClassifier(),NA,0.5853658536585366
5250,Buccaneers,13,RandomForestClassifier(),NA,0.6341463414634146
5251,Buccaneers,13,ExtraTreesClassifier(),NA,0.6829268292682927
5252,Buccaneers,13,DecisionTreeClassifier(),NA,0.6341463414634146
5253,Buccaneers,13,AdaBoostClassifier(),NA,0.7804878048780488
5254,Buccaneers,13,MultinomialNB(),NA,0.6341463414634146
5255,Buccaneers,13,GradientBoostingClassifier(),NA,0.7804878048780488
5256,Buccaneers,14,LogisticRegression(),NA,0.7073170731707317
5257,Buccaneers,14,KNeighborsClassifier(),NA,0.6097560975609756
5258,Buccaneers,14,BaggingClassifier(),NA,0.5853658536585366
5259,Buccaneers,14,RandomForestClassifier(),NA,0.6829268292682927
5260,Buccaneers,14,ExtraTreesClassifier(),NA,0.7073170731707317
5261,Buccaneers,14,DecisionTreeClassifier(),NA,0.6097560975609756
5262,Buccaneers,14,AdaBoostClassifier(),NA,0.8292682926829268
5263,Buccaneers,14,MultinomialNB(),NA,0.6585365853658537
5264,Buccaneers,14,GradientBoostingClassifier(),NA,0.8048780487804879
5265,Lions,0,LogisticRegression(),NA,0.7804878048780488
5266,Lions,0,KNeighborsClassifier(),NA,0.6585365853658537
5267,Lions,0,BaggingClassifier(),NA,0.7804878048780488
5268,Lions,0,RandomForestClassifier(),NA,0.7804878048780488
5269,Lions,0,ExtraTreesClassifier(),NA,0.7804878048780488
5270,Lions,0,DecisionTreeClassifier(),NA,0.7804878048780488
5271,Lions,0,AdaBoostClassifier(),NA,0.7804878048780488
5272,Lions,0,MultinomialNB(),NA,0.7804878048780488
