,Team,Clump,Estimator,params,accuracy,HV
201,Colts,7,RandomForestClassifier(),,0.6976744186046512,H
202,Colts,7,ExtraTreesClassifier(),,0.6976744186046512,H
203,Colts,7,DecisionTreeClassifier(),,0.6976744186046512,H
204,Colts,7,AdaBoostClassifier(),,0.6046511627906976,H
205,Colts,7,MultinomialNB(),,0.7209302325581395,H
206,Colts,7,GradientBoostingClassifier(),,0.6976744186046512,H
207,Colts,8,LogisticRegression(),,0.6744186046511628,H
208,Colts,8,KNeighborsClassifier(),,0.7209302325581395,H
209,Colts,8,BaggingClassifier(),,0.7209302325581395,H
210,Colts,8,RandomForestClassifier(),,0.7441860465116279,H
211,Colts,8,ExtraTreesClassifier(),,0.7441860465116279,H
212,Colts,8,DecisionTreeClassifier(),,0.7441860465116279,H
213,Colts,8,AdaBoostClassifier(),,0.3953488372093023,H
214,Colts,8,MultinomialNB(),,0.6511627906976745,H
215,Colts,8,GradientBoostingClassifier(),,0.7441860465116279,H
216,Colts,9,LogisticRegression(),,0.5116279069767442,H
217,Colts,9,KNeighborsClassifier(),,0.6511627906976745,H
218,Colts,9,BaggingClassifier(),,0.5116279069767442,H
219,Colts,9,RandomForestClassifier(),,0.7441860465116279,H
220,Colts,9,ExtraTreesClassifier(),,0.7441860465116279,H
221,Colts,9,DecisionTreeClassifier(),,0.7674418604651163,H
222,Colts,9,AdaBoostClassifier(),,0.4883720930232558,H
223,Colts,9,MultinomialNB(),,0.5116279069767442,H
224,Colts,9,GradientBoostingClassifier(),,0.7441860465116279,H
225,Colts,10,LogisticRegression(),,0.7674418604651163,H
226,Colts,10,KNeighborsClassifier(),,0.7906976744186046,H
227,Colts,10,BaggingClassifier(),,0.7674418604651163,H
228,Colts,10,RandomForestClassifier(),,0.7441860465116279,H
229,Colts,10,ExtraTreesClassifier(),,0.7441860465116279,H
230,Colts,10,DecisionTreeClassifier(),,0.7441860465116279,H
231,Colts,10,AdaBoostClassifier(),,0.4651162790697674,H
232,Colts,10,MultinomialNB(),,0.7674418604651163,H
233,Colts,10,GradientBoostingClassifier(),,0.7674418604651163,H
234,Colts,11,LogisticRegression(),,0.8604651162790697,H
235,Colts,11,KNeighborsClassifier(),,0.6744186046511628,H
