,VQ4
1597,7
1598,6
1599,10
1600,3
1601,14
1602,14
1603,17
1604,3
1605,0
1606,0
1607,14
1608,21
1609,0
1610,0
1611,3
1612,7
1613,0
1614,7
1615,0
1616,0
1617,0
1618,7
1619,7
1620,7
1621,14
1622,0
1623,3
1624,3
1625,10
1626,12
1627,7
1628,0
1629,27
1630,7
1631,0
1632,0
1633,0
1634,17
1635,9
1636,6
1637,15
1638,0
1639,17
1640,7
1641,13
1642,0
1643,17
1644,0
1645,0
1646,0
1647,6
1648,0
1649,6
1650,0
1651,7
1652,7
1653,0
1654,7
1655,13
1656,0
1657,3
1658,0
1659,0
1660,3
1661,0
1662,3
1663,10
1664,7
1665,16
1666,7
1667,10
1668,0
1669,10
1670,14
1671,0
1672,14
1673,14
1674,14
1675,7
1676,14
1677,0
1678,14
1679,0
1680,7
1681,0
1682,8
1683,3
1684,7
1685,10
1686,7
1687,3
1688,12
1689,0
1690,10
1691,0
1692,0
1693,3
1694,14
1695,14
1696,7
1697,3
1698,25
1699,0
1700,0
1701,0
1702,10
1703,3
1704,10
1705,7
1706,0
1707,7
1708,0
1709,0
1710,10
1711,13
1712,3
1713,0
1714,7
1715,0
1716,3
1717,10
1718,10
1719,0
1720,3
1721,21
1722,3
1723,3
1724,10
1725,7
1726,7
1727,6
1728,14
1729,3
1730,0
1731,7
1732,21
1733,0
1734,7
1735,0
1736,7
1737,10
1738,21
1739,7
1740,7
1741,7
1742,7
1743,0
1744,14
1745,0
1746,3
1747,0
1748,0
1749,3
1750,10
1751,0
1752,8
1753,7
1754,7
1755,13
1756,10
1757,0
1758,0
1759,10
1760,7
1761,3
1762,7
1763,3
1764,7
1765,10
1766,7
1767,7
1768,7
1769,3
1770,7
1771,0
1772,9
1773,7
1774,3
1775,10
1776,16
1777,3
1778,7
1779,7
1780,0
1781,7
1782,3
1783,0
1784,7
1785,7
1786,0
1787,7
1788,0
1789,6
1790,3
1791,0
1792,0
1793,14
1794,21
1795,7
1796,0
1797,10
1798,0
1799,0
1800,3
1801,7
1802,3
1803,21
1804,0
1805,14
1806,7
1807,22
1808,3
1809,3
1810,0
1811,3
1812,10
1813,10
1814,3
1815,0
1816,7
1817,9
1818,7
1819,10
1820,10
1821,6
1822,6
1823,7
1824,7
1825,10
1826,7
1827,6
1828,3
1829,9
1830,14
1831,0
1832,3
1833,3
1834,10
1835,7
1836,7
1837,10
1838,10
1839,0
1840,6
1841,3
1842,0
1843,3
1844,3
1845,10
1846,3
1847,3
1848,0
1849,11
1850,0
1851,6
1852,7
1853,0
1854,13
1855,3
1856,3
1857,3
1858,0
1859,3
1860,10
1861,0
1862,0
1863,0
1864,0
1865,19
1866,16
1867,10
1868,7
1869,3
1870,3
1871,0
1872,0
1873,7
1874,7
1875,21
1876,0
1877,17
1878,0
1879,3
1880,0
1881,10
1882,10
1883,7
1884,7
1885,17
1886,0
1887,7
1888,0
1889,0
1890,3
1891,3
1892,15
1893,3
1894,7
1895,9
1896,3
1897,3
1898,14
1899,17
1900,14
1901,7
1902,7
1903,0
1904,3
1905,14
1906,10
1907,14
1908,3
1909,3
1910,0
1911,7
1912,14
1913,3
1914,10
1915,7
1916,3
1917,0
1918,0
1919,0
1920,14
1921,14
1922,10
1923,0
1924,7
1925,7
1926,0
1927,10
1928,12
1929,13
1930,13
1931,0
1932,0
1933,0
1934,7
1935,8
1936,7
1937,16
1938,7
1939,17
1940,0
1941,10
1942,7
1943,13
1944,7
1945,6
1946,9
1947,6
1948,3
1949,8
1950,6
1951,13
1952,0
1953,0
1954,14
1955,10
1956,3
1957,3
1958,0
1959,7
1960,0
1961,3
1962,3
1963,7
1964,10
1965,7
1966,7
1967,7
1968,0
1969,20
1970,7
1971,3
1972,7
1973,7
1974,0
1975,7
1976,8
1977,3
1978,6
1979,7
1980,14
1981,3
1982,0
1983,7
1984,10
1985,0
1986,7
1987,11
1988,10
1989,20
1990,7
1991,12
1992,14
1993,7
1994,7
1995,14
1996,0
1997,3
1998,7
1999,0
2000,0
2001,0
2002,0
2003,7
2004,3
2005,7
2006,3
2007,3
2008,10
2009,3
2010,6
2011,14
2012,3
2013,6
2014,0
2015,0
2016,7
2017,7
2018,0
2019,3
2020,14
2021,7
2022,0
2023,0
2024,7
2025,0
2026,7
2027,0
2028,0
2029,3
2030,13
2031,7
2032,9
2033,0
