,Week,Clump,Estimator,params,accuracy
362,4,2,BaggingClassifier,NA,0.6301369863013698
363,4,3,BaggingClassifier,NA,0.4520547945205479
364,4,4,BaggingClassifier,NA,0.726027397260274
365,4,5,BaggingClassifier,NA,0.6438356164383562
366,4,6,BaggingClassifier,NA,0.589041095890411
367,4,7,BaggingClassifier,NA,0.6575342465753424
368,4,8,BaggingClassifier,NA,0.6164383561643836
369,4,9,BaggingClassifier,NA,0.589041095890411
370,4,10,BaggingClassifier,NA,0.726027397260274
371,4,11,BaggingClassifier,NA,0.726027397260274
372,4,12,BaggingClassifier,NA,0.7534246575342466
373,4,13,BaggingClassifier,NA,0.7123287671232876
374,4,14,BaggingClassifier,NA,0.8082191780821918
375,5,0,BaggingClassifier,NA,0.5633802816901409
376,5,1,BaggingClassifier,NA,0.704225352112676
377,5,2,BaggingClassifier,NA,0.6338028169014085
378,5,3,BaggingClassifier,NA,0.6056338028169014
379,5,4,BaggingClassifier,NA,0.5774647887323944
380,5,5,BaggingClassifier,NA,0.704225352112676
381,5,6,BaggingClassifier,NA,0.7183098591549296
382,5,7,BaggingClassifier,NA,0.6619718309859155
383,5,8,BaggingClassifier,NA,0.676056338028169
384,5,9,BaggingClassifier,NA,0.647887323943662
385,5,10,BaggingClassifier,NA,0.704225352112676
386,5,11,BaggingClassifier,NA,0.7323943661971831
387,5,12,BaggingClassifier,NA,0.6901408450704225
388,5,13,BaggingClassifier,NA,0.6901408450704225
389,5,14,BaggingClassifier,NA,0.7464788732394366
390,6,0,BaggingClassifier,NA,0.4714285714285714
391,6,1,BaggingClassifier,NA,0.6142857142857143
392,6,2,BaggingClassifier,NA,0.5428571428571428
393,6,3,BaggingClassifier,NA,0.5714285714285714
394,6,4,BaggingClassifier,NA,0.6714285714285714
395,6,5,BaggingClassifier,NA,0.6714285714285714
396,6,6,BaggingClassifier,NA,0.5857142857142857
397,6,7,BaggingClassifier,NA,0.6714285714285714
398,6,8,BaggingClassifier,NA,0.5714285714285714
399,6,9,BaggingClassifier,NA,0.5428571428571428
400,6,10,BaggingClassifier,NA,0.6857142857142857
401,6,11,BaggingClassifier,NA,0.6142857142857143
402,6,12,BaggingClassifier,NA,0.6428571428571429
403,6,13,BaggingClassifier,NA,0.6857142857142857
404,6,14,BaggingClassifier,NA,0.7428571428571429
405,7,0,BaggingClassifier,NA,0.7857142857142857
406,7,1,BaggingClassifier,NA,0.6714285714285714
407,7,2,BaggingClassifier,NA,0.7428571428571429
408,7,3,BaggingClassifier,NA,0.5857142857142857
409,7,4,BaggingClassifier,NA,0.7285714285714285
410,7,5,BaggingClassifier,NA,0.7
411,7,6,BaggingClassifier,NA,0.7285714285714285
412,7,7,BaggingClassifier,NA,0.7571428571428571
413,7,8,BaggingClassifier,NA,0.7428571428571429
414,7,9,BaggingClassifier,NA,0.6571428571428571
415,7,10,BaggingClassifier,NA,0.8
416,7,11,BaggingClassifier,NA,0.8142857142857143
417,7,12,BaggingClassifier,NA,0.7142857142857143
418,7,13,BaggingClassifier,NA,0.6571428571428571
419,7,14,BaggingClassifier,NA,0.7714285714285715
420,8,0,BaggingClassifier,NA,0.7246376811594203
421,8,1,BaggingClassifier,NA,0.6231884057971014
422,8,2,BaggingClassifier,NA,0.7246376811594203
423,8,3,BaggingClassifier,NA,0.6231884057971014
424,8,4,BaggingClassifier,NA,0.7246376811594203
425,8,5,BaggingClassifier,NA,0.6231884057971014
426,8,6,BaggingClassifier,NA,0.7681159420289855
427,8,7,BaggingClassifier,NA,0.7391304347826086
428,8,8,BaggingClassifier,NA,0.7536231884057971
429,8,9,BaggingClassifier,NA,0.6086956521739131
430,8,10,BaggingClassifier,NA,0.6956521739130435
431,8,11,BaggingClassifier,NA,0.7971014492753623
432,8,12,BaggingClassifier,NA,0.7681159420289855
433,8,13,BaggingClassifier,NA,0.6956521739130435
434,8,14,BaggingClassifier,NA,0.7391304347826086
435,9,0,BaggingClassifier,NA,0.6231884057971014
436,9,1,BaggingClassifier,NA,0.5507246376811594
437,9,2,BaggingClassifier,NA,0.6521739130434783
438,9,3,BaggingClassifier,NA,0.6376811594202898
439,9,4,BaggingClassifier,NA,0.6666666666666666
440,9,5,BaggingClassifier,NA,0.6521739130434783
441,9,6,BaggingClassifier,NA,0.6956521739130435
442,9,7,BaggingClassifier,NA,0.6521739130434783
443,9,8,BaggingClassifier,NA,0.5797101449275363
444,9,9,BaggingClassifier,NA,0.6521739130434783
445,9,10,BaggingClassifier,NA,0.6376811594202898
446,9,11,BaggingClassifier,NA,0.5942028985507246
447,9,12,BaggingClassifier,NA,0.7101449275362319
448,9,13,BaggingClassifier,NA,0.6666666666666666
449,9,14,BaggingClassifier,NA,0.7246376811594203
450,10,0,BaggingClassifier,NA,0.6666666666666666
451,10,1,BaggingClassifier,NA,0.6388888888888888
452,10,2,BaggingClassifier,NA,0.5833333333333334
453,10,3,BaggingClassifier,NA,0.625
454,10,4,BaggingClassifier,NA,0.6666666666666666
455,10,5,BaggingClassifier,NA,0.6805555555555556
456,10,6,BaggingClassifier,NA,0.6527777777777778
457,10,7,BaggingClassifier,NA,0.6527777777777778
458,10,8,BaggingClassifier,NA,0.6527777777777778
459,10,9,BaggingClassifier,NA,0.6527777777777778
460,10,10,BaggingClassifier,NA,0.6944444444444444
461,10,11,BaggingClassifier,NA,0.7222222222222222
462,10,12,BaggingClassifier,NA,0.6805555555555556
463,10,13,BaggingClassifier,NA,0.6666666666666666
464,10,14,BaggingClassifier,NA,0.7777777777777778
465,11,0,BaggingClassifier,NA,0.6933333333333334
466,11,1,BaggingClassifier,NA,0.7066666666666667
467,11,2,BaggingClassifier,NA,0.64
468,11,3,BaggingClassifier,NA,0.6
469,11,4,BaggingClassifier,NA,0.7866666666666666
470,11,5,BaggingClassifier,NA,0.76
471,11,6,BaggingClassifier,NA,0.7333333333333333
472,11,7,BaggingClassifier,NA,0.72
473,11,8,BaggingClassifier,NA,0.6133333333333333
474,11,9,BaggingClassifier,NA,0.76
475,11,10,BaggingClassifier,NA,0.8133333333333334
476,11,11,BaggingClassifier,NA,0.8133333333333334
477,11,12,BaggingClassifier,NA,0.8133333333333334
478,11,13,BaggingClassifier,NA,0.7066666666666667
479,11,14,BaggingClassifier,NA,0.8
480,12,0,BaggingClassifier,NA,0.6025641025641025
481,12,1,BaggingClassifier,NA,0.5512820512820513
482,12,2,BaggingClassifier,NA,0.6282051282051282
483,12,3,BaggingClassifier,NA,0.5897435897435898
484,12,4,BaggingClassifier,NA,0.6794871794871795
485,12,5,BaggingClassifier,NA,0.7051282051282052
486,12,6,BaggingClassifier,NA,0.7564102564102564
487,12,7,BaggingClassifier,NA,0.6538461538461539
488,12,8,BaggingClassifier,NA,0.46153846153846156
489,12,9,BaggingClassifier,NA,0.5641025641025641
490,12,10,BaggingClassifier,NA,0.7307692307692307
491,12,11,BaggingClassifier,NA,0.6538461538461539
