GameID,Vteam,VQ1,VQ2,VQ3,VQ4,DateWeek,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200010220rav,Titans,0,7,7,0,10/22/2000,2000,Ravens,3,3,0,0
200010220phi,Bears,0,0,0,9,10/22/2000,2000,Eagles,3,7,3,0
200010220atl,Saints,7,0,7,7,10/22/2000,2000,Falcons,3,10,0,6
200010220rai,Seahawks,3,0,0,0,10/22/2000,2000,Raiders,7,14,0,10
200010220pit,Browns,0,0,0,0,10/22/2000,2000,Steelers,3,10,3,6
200010220jax,Redskins,7,14,7,7,10/22/2000,2000,Jaguars,3,13,0,0
200010230nyj,Dolphins,17,6,7,7,10/23/2000,2000,Jets,0,7,0,30
200010290tam,Vikings,3,10,0,0,10/29/2000,2000,Buccaneers,14,17,3,7
200010290buf,Jets,7,0,10,3,10/29/2000,2000,Bills,7,10,0,6
200010290mia,Packers,10,7,0,3,10/29/2000,2000,Dolphins,0,7,21,0
200010290rav,Steelers,0,0,9,0,10/29/2000,2000,Ravens,0,6,0,0
200010290atl,Panthers,3,3,3,3,10/29/2000,2000,Falcons,3,0,0,10
200010290cle,Bengals,0,7,3,2,10/29/2000,2000,Browns,0,0,3,0
200010290clt,Lions,0,0,11,7,10/29/2000,2000,Colts,7,16,0,7
200010290crd,Saints,7,0,7,7,10/29/2000,2000,Cardinals,7,3,0,0
200010290sfo,Rams,7,7,10,10,10/29/2000,2000,49ers,7,10,7,0
200010290nyg,Eagles,0,0,0,7,10/29/2000,2000,Giants,7,7,0,10
200010290dal,Jaguars,0,17,0,0,10/29/2000,2000,Cowboys,7,0,3,7
200010290sea,Chiefs,7,14,0,3,10/29/2000,2000,Seahawks,3,7,0,9
200010290sdg,Raiders,9,3,0,3,10/29/2000,2000,Chargers,0,0,7,6
200010300was,Titans,0,20,0,7,10/30/2000,2000,Redskins,7,0,7,7
200011050det,Dolphins,14,3,6,0,11/5/2000,2000,Lions,0,0,0,8
200011050nor,49ers,0,0,7,8,11/5/2000,2000,Saints,7,21,3,0
200011050chi,Colts,0,0,8,16,11/5/2000,2000,Bears,10,10,7,0
200011050nwe,Bills,3,7,0,3,11/5/2000,2000,Patriots,0,3,0,10
200011050atl,Buccaneers,7,7,3,10,11/5/2000,2000,Falcons,0,0,7,7
200011050phi,Cowboys,0,7,3,3,11/5/2000,2000,Eagles,0,0,0,13
200011050oti,Steelers,0,0,0,7,11/5/2000,2000,Titans,0,3,0,6
200011050cin,Ravens,3,21,0,3,11/5/2000,2000,Bengals,0,0,7,0
200011050cle,Giants,0,10,7,7,11/5/2000,2000,Browns,3,0,0,0
200011050rai,Chiefs,0,10,7,14,11/5/2000,2000,Raiders,14,14,7,14
200011050crd,Redskins,3,9,3,0,11/5/2000,2000,Cardinals,10,0,6,0
200011050sea,Chargers,0,3,9,3,11/5/2000,2000,Seahawks,0,14,0,3
200011050nyj,Broncos,10,10,3,7,11/5/2000,2000,Jets,0,10,10,3
200011050ram,Panthers,6,7,3,11,11/5/2000,2000,Rams,7,3,14,0
200011060gnb,Vikings,3,10,7,0,11/6/2000,2000,Packers,0,10,10,0
200011120dal,Bengals,0,6,0,0,11/12/2000,2000,Cowboys,0,7,13,3
200011120min,Cardinals,7,0,0,7,11/12/2000,2000,Vikings,7,3,7,14
200011120pit,Eagles,3,7,3,10,11/12/2000,2000,Steelers,0,6,7,10
200011120det,Falcons,0,7,3,0,11/12/2000,2000,Lions,7,0,0,6
200011120car,Saints,0,7,7,6,11/12/2000,2000,Panthers,0,3,0,7
200011120buf,Bears,0,3,0,0,11/12/2000,2000,Bills,0,6,7,7
200011120jax,Seahawks,0,14,7,7,11/12/2000,2000,Jaguars,7,14,0,0
