,Year,Clump,Estimator,params,accuracy
156,10,6,LogisticRegression,NA,0.7014925373134329
157,10,7,LogisticRegression,NA,0.7313432835820896
158,10,8,LogisticRegression,NA,0.7313432835820896
159,10,9,LogisticRegression,NA,0.6716417910447762
160,10,10,LogisticRegression,NA,0.8208955223880597
161,10,11,LogisticRegression,NA,0.7910447761194029
162,10,12,LogisticRegression,NA,0.8059701492537313
163,10,13,LogisticRegression,NA,0.8059701492537313
164,10,14,LogisticRegression,NA,0.8507462686567164
165,11,0,LogisticRegression,NA,0.5522388059701493
166,11,1,LogisticRegression,NA,0.5223880597014925
167,11,2,LogisticRegression,NA,0.7164179104477612
168,11,3,LogisticRegression,NA,0.5671641791044776
169,11,4,LogisticRegression,NA,0.6268656716417911
170,11,5,LogisticRegression,NA,0.6119402985074627
171,11,6,LogisticRegression,NA,0.7164179104477612
172,11,7,LogisticRegression,NA,0.6567164179104478
173,11,8,LogisticRegression,NA,0.6417910447761194
174,11,9,LogisticRegression,NA,0.5970149253731343
175,11,10,LogisticRegression,NA,0.6567164179104478
176,11,11,LogisticRegression,NA,0.746268656716418
177,11,12,LogisticRegression,NA,0.6417910447761194
178,11,13,LogisticRegression,NA,0.7164179104477612
179,11,14,LogisticRegression,NA,0.7910447761194029
180,12,0,LogisticRegression,NA,0.5211267605633803
181,12,1,LogisticRegression,NA,0.6619718309859155
182,12,2,LogisticRegression,NA,0.5774647887323944
183,12,3,LogisticRegression,NA,0.6901408450704225
184,12,4,LogisticRegression,NA,0.647887323943662
185,12,5,LogisticRegression,NA,0.676056338028169
186,12,6,LogisticRegression,NA,0.704225352112676
187,12,7,LogisticRegression,NA,0.6197183098591549
188,12,8,LogisticRegression,NA,0.647887323943662
189,12,9,LogisticRegression,NA,0.676056338028169
190,12,10,LogisticRegression,NA,0.6338028169014085
191,12,11,LogisticRegression,NA,0.7183098591549296
192,12,12,LogisticRegression,NA,0.7323943661971831
193,12,13,LogisticRegression,NA,0.7605633802816901
194,12,14,LogisticRegression,NA,0.7746478873239436
195,13,0,LogisticRegression,NA,0.5074626865671642
196,13,1,LogisticRegression,NA,0.6119402985074627
197,13,2,LogisticRegression,NA,0.5522388059701493
198,13,3,LogisticRegression,NA,0.5970149253731343
199,13,4,LogisticRegression,NA,0.6417910447761194
200,13,5,LogisticRegression,NA,0.6716417910447762
